
Cədvəl 1.5. Azərbaycan Respublikasının xarici ticarəti (tədiyə balansı metodologiyasına əsasən)
Table 1.5. Foreign trade of the Republic of Azerbaijan (based on a balance of payments methodology)

min ABŞ dolları / thousand USD
Tarix, İxrac (FOB), İdxal (FOB), Ticarət balansı, =BY8+BY18+BY28+BY36
Cəmi, Əvvəlki ilin müvafiq dövrünə nisbətən dəyişmə, %-lə, o cümlədən, Cəmi, Əvvəlki ilin müvafiq dövrünə nisbətən dəyişmə, %-lə, o cümlədən, Cəmi, o cümlədən
Uzaq xarici dövlətlərə, Əvvəlki ilin müvafiq dövrünə nisbətən dəyişmə, %-lə, MDB dövlətlərinə, Əvvəlki ilin müvafiq dövrünə nisbətən dəyişmə, %-lə, Uzaq xarici dövlətlərdən, Əvvəlki ilin müvafiq dövrünə nisbətən dəyişmə, %-lə, MDB dövlətlərindən, Əvvəlki ilin müvafiq dövrünə nisbətən dəyişmə, %-lə, Uzaq xarici dövlətlər üzrə, MDB dövlətləri üzrə




Date, Exports (FOB), Imports (FOB), Trade balance
Total, On a relevant period of previous year, %, of which, Total, On a relevant period of previous year, %, of which, Total, of which
To non-CIS countries, On a relevant period of previous year, %, To CIS countries, On a relevant period of previous year, %, From non-CIS countries, On a relevant period of previous year, %, From CIS countries, On a relevant period of previous year, %, On non-CIS countries, On CIS countries



1995, 612343, 89.8, 339297, 93.6, 273046, 85.6, 985432, 115.8, 755527, 185.6, 229905, 51.8, =B19-H19, =D19-J19, =F19-L19
1996, 643669, 105.1, 343717, 101.3, 299952, 109.9, 1337583, 135.7, 1012005, 133.9, 325578, =L20/L19*100, =B20-H20, =D20-J20, =F20-L20
1997, 808257, =B21/B20*100, 427920, =D21/D20*100, 380337, =F21/F20*100, 1375164, =H21/H20*100, 977641, =J21/J20*100, 397523, =L21/L20*100, =B21-H21, =D21-J21, =F21-L21
1998, =SUM(B23:B26), =B22/B21*100, =SUM(D23:D26), =D22/D21*100, =SUM(F23:F26), =F22/F21*100, =SUM(H23:H26), =H22/H21*100, =SUM(J23:J26), =J22/J21*100, =SUM(L23:L26), =L22/L21*100, =B22-H22, =D22-J22, =F22-L22
I  rüb, 129728, 73, 58676, 53.3, 71052, 104.9, 368405, 121.4, 274912, 123.1, 93493, 116.7, =B23-H23, =D23-J23, =F23-L23
II  rüb, 181156, 78.2, 75560, 52.8, 105596, 119.1, 433970, 119.7, 321424, 126.3, 112546, 104.2, =B24-H24, =D24-J24, =F24-L24
III rüb, 200803, 119.4, 74621, 89.6, 126182, 148.7, 448913, 124.8, 322099, 127.1, 126814, 119.3, =B25-H25, =D25-J25, =F25-L25
IV rüb, 166064, 71.9, 225475, 245.7, -59411, 42.7, 472615, 135.3, 347954, 141.3, 124661, 120.9, =B26-H26, =D26-J26, =F26-L26
1999, =SUM(B28:B31), =B27/B22*100, =SUM(D28:D31), =D27/D22*100, =SUM(F28:F31), =F27/F22*100, =SUM(H28:H31), =H27/H22*100, =SUM(J28:J31), =J27/J22*100, =SUM(L28:L31), =L27/L22*100, =B27-H27, =D27-J27, =F27-L27
I  rüb, 148060, =B28/B23*100, 112429, =D28/D23*100, 35631, =F28/F23*100, 312012, =H28/H23*100, 224296, =J28/J23*100, 87716, =L28/L23*100, =B28-H28, =D28-J28, =F28-L28
II  rüb, 166076, =B29/B24*100, 119275, =D29/D24*100, 46801, =F29/F24*100, 331461, =H29/H24*100, 245023, =J29/J24*100, 86438, =L29/L24*100, =B29-H29, =D29-J29, =F29-L29
